PubChem	conditionA	conditionA	conditionA	conditionA	conditionA	conditionA	conditionB	conditionB	conditionB	conditionB	conditionB	conditionB
440641	727	1485	1328	1578	1432	1442	2241	2189	832	2872	2406	2184
439394	5439	5116	4340	5294	5613	4856	4421	4251	4375	3933	4179	4104
439709	4226	3825	3593	5119	6952	3629	1145	1925	1206	884	2487	832
222285	1423	971	1026	1432	1177	1197	653	669	498	527	969	649
8193	253	396	347	398	1515	360	598	535	498	504	395	476
22841776	2062	667	221	395	4418	669	497	654	567	276	452	454
5862	784	467	409	256	621	712	187	102	123	169	150	142
588	1915	723	2037	550	1469	1414	5122	2951	1606	3148	4184	2954
9750	6507	4643	4483	5942	6258	5584	274	447	303	344	258	341
311	2760	2468	2325	2691	3112	2694	8924	9187	3617	8637	8059	8051
1081	347	195	255	188	328	323	257	261	181	220	209	237
5997	106365	107646	142349	126119	123126	121871	156026	129470	84656	141390	105743	138298
2969	536	402	715	540	506	461	723	860	525	794	538	750
102018	318	213	259	193	250	322	877	981	830	782	895	997
2526	255	248	134	259	281	294	188	176	249	247	305	193
239	1337	934	863	910	976	875	1101	1102	1203	954	862	1164
243	2265	947	7467	3096	5156	1835	4736	9247	2806	3611	6252	5907
5960	10007	7087	8052	10118	11337	11162	11181	11950	19724	11043	9721	9371
6267	1897	1410	1478	1503	1917	1943	2169	1750	2547	2977	2191	2034
51	377	372	283	409	415	292	643	794	514	608	591	552
92136	397	341	324	379	430	397	694	576	503	650	471	707
5950	90606	65361	76717	81820	87779	99741	87537	82076	90457	89640	84793	72477
196	659	475	544	415	610	631	463	622	468	594	518	580
6083	4563	4820	4179	5333	4276	5061	5530	5651	3984	6801	5614	5919
60961	235	194	200	218	236	236	267	209	180	169	236	262
190	1090	913	1087	1193	1218	1322	1171	1304	903	1676	1428	1545
439176	1009	687	778	773	954	828	1841	1944	1256	1879	1673	1715
16069996	2634	798	1132	2159	2317	1789	52	163	47	160	144	52
724	215	195	170	168	176	131	566	585	990	564	594	703
1662	100	88	80	101	134	208	168	120	142	120	153	134
64956	45	52	115	33	108	57	102	80	104	62	72	125
70	655	563	663	780	759	734	706	831	612	778	668	692
43	175	231	250	145	325	199	373	401	283	248	342	477
10787	226	196	293	182	258	138	118	238	212	209	163	235
13006	387	295	280	278	495	370	420	470	489	384	382	464
24699	301	230	204	257	175	229	211	90	220	283	265	245
14900	613	168	362	52	484	198	325	269	392	275	166	374
2682	620	453	408	423	150	442	311	383	170	425	421	498
23368901	2908	1256	2073	808	1622	2531	2897	3504	927	1942	1916	1624
