C00199	C01068
C00481	C01162
C00025	C01045
C00735	C05471
C00352	C00357
C00044	C01261
C00051	C01031
C00059	C00094
C00130	C00294
C00603	C00802
C00134	C06366
C00114	C00933
C00130	C00262
C00418	C00772
C00535	C04295
C00156	C00230
C00156	C00530
C00590	C00761
C00197	C01182
C00132	C01438
C01013	C05668
C00007	C00530
C00010	C00540
C00010	C02949
C00156	C02949
C00010	C05668
C00002	C05560
C00134	C00555
C00088	C01358
C00022	C00885
C00134	C00436
C00062	C00327
C00280	C00535
C00062	C01201
C00134	C02714
C00280	C01227
C00424	C00583
C00956	C05560
C00209	C00313
C00037	C00581
C00956	C04076
C00591	C01064
C00007	C00067
C00319	C06124
C00385	C01762
C00099	C00386
C00355	C00822
C00135	C00386
C00089	C02591
C00213	C01026
C00089	C05731
C00031	C01158
C00065	C01005
C00445	C03479
C00136	C01412
C00067	C01026
C00114	C00157
C00645	C04257
C00157	C00641
C00137	C01177
C00178	C00214
C00245	C05122
C00804	C05985
C00216	C00652
C00060	C00157
C00031	C01175
C00058	C00067
C00067	C00218
C00025	C01046
C00637	C00955
C00068	C01081
C00068	C03028
C00157	C04230
C00068	C05381
C00360	C00559
C00157	C04233
C00090	C00108
C00544	C00642
C00363	C00364
C00140	C00329
C00140	C00357
C00140	C01133
C00015	C01170
C00972	C01021
C00071	C00162
C00544	C05593
C00072	C01115
C00296	C00944
C00010	C00630
C00365	C00526
C00073	C01180
C00073	C00409
C00158	C00566
C00862	C01001
C00544	C05585
C00670	C04517
C00141	C00966
C00751	C01054
C00143	C00445
C00366	C00385
C00144	C00387
C00015	C00935
C00300	C02305
C00144	C00655
C00741	C00810
C00025	C04138
C00077	C00327
C00493	C02637
C00077	C01165
C00145	C00297
C00010	C02249
C00322	C02220
C00857	C01185
C00162	C00641
C00388	C04138
C00078	C00463
C00065	C00078
C00641	C02112
C00222	C00383
C00195	C00550
C01050	C04631
C00371	C02029
C00147	C00212
C00148	C03564
C00239	C00705
C00079	C02505
C00022	C00957
C00025	C00449
C00601	C05332
C00836	C01120
C00093	C00681
C00024	C00222
C00025	C03912
C00042	C00232
C00047	C00449
C00151	C03740
C00882	C01134
C00376	C00777
C00143	C00415
C00312	C00379
C00541	C00992
C00009	C00081
C00082	C01179
C00606	C05527
C00082	C00826
C00229	C01209
C00025	C00439
C00642	C03765
C00153	C00455
C00230	C02814
C00055	C00513
C00007	C02814
C00153	C03150
C00093	C00513
C00314	C00627
C00651	C01109
C00101	C00664
C00378	C04294
C00378	C01081
C00003	C00455
C00155	C00542
C00315	C00555
C00155	C02291
C00003	C00006
C00085	C00665
C00155	C01077
C00161	C00538
C00085	C00279
C00601	C07086
C00010	C01063
C01090	C01986
C00066	C00886
C00087	C00094
C00087	C00283
C01157	C01877
C00008	C00009
C01161	C04043
C01176	C04518
C01176	C05138
C01179	C03672
C01179	C03964
C01185	C05841
C00013	C00119
C01190	C01290
C01194	C04549
C00010	C01213
C01215	C01270
C01219	C04297
C01222	C02977
C01222	C03117
C01227	C04555
C01227	C04295
C00492	C01613
C01243	C01272
C01245	C01272
C04317	C04598
C00095	C01094
C00152	C02362
C01290	C04845
C01290	C04737
C01290	C04730
C01290	C06135
C00162	C03547
C00095	C00794
C01412	C06142
C00132	C05616
C01504	C01710
C01506	C03667
C01516	C01735
C00162	C00422
C01533	C02325
C01617	C05906
C01617	C03052
C00243	C05396
C01694	C05440
C01780	C05473
C00037	C01921
C00618	C04575
C00020	C05921
C01901	C03578
C01944	C05276
C01984	C02137
C02140	C05490
C02165	C05949
C02170	C06002
C00015	C02199
C02206	C02771
C00096	C00144
C00015	C00105
C02247	C05165
C02646	C05855
C02671	C03933
C02686	C06126
C02686	C06125
C00010	C03160
C02778	C03954
C02939	C03069
C01641	C02987
C03205	C05485
C03268	C04645
C03272	C04925
C03272	C04737
C03277	C03817
C03284	C06002
C03323	C03323
C00455	C03150
C03340	C03972
C03341	C03943
C03474	C04050
C00016	C00061
C03671	C05375
C00292	C03764
C03764	C04203
C03772	C04373
C03838	C04376
C03901	C04445
C04419	C06250
C05535	C11482
C04186	C04642
C04246	C05745
C04281	C05947
C00876	C01080
C00065	C00097
C03692	C04315
C04530	C04814
C04577	C04742
C04628	C04832
C04730	C04884
C04796	C06047
C04797	C06048
C04884	C06135
C04884	C04911
C04911	C04927
C00055	C04121
C05139	C05140
C05141	C05300
C00066	C05156
C05161	C05825
C05176	C05202
C05223	C05758
C05270	C05271
C00018	C00250
C05284	C05285
C05451	C05452
C05469	C05470
C05471	C05472
C05473	C05474
C05475	C05476
C05476	C05478
C05477	C05478
C05479	C05480
C05487	C05488
C05577	C05580
C05581	C05582
C05583	C05584
C05634	C05635
C05654	C05655
C00055	C05673
C00001	C16199
C05698	C05699
C05712	C05713
C05748	C05749
C05751	C05752
C05754	C05755
C05760	C05761
C05763	C05764
C05922	C05923
C05946	C05947
C00346	C06124
C06135	C06136
C06139	C06140
C06140	C06141
C06144	C06145
C06102	C06103
C00392	C00644
C06637	C06638
C04623	C06649
C00097	C00669
C04596	C06637
C00755	C06672
C06756	C06757
C01454	C06729
C06729	C06730
C00058	C06760
C06711	C06712
C06711	C07715
C07111	C07112
C01504	C02274
C00007	C02274
C01504	C07720
C00007	C07720
C06712	C07722
C07727	C07728
C07212	C07213
C07208	C07216
C00097	C00957
C00010	C06625
C06789	C06790
C00129	C04216
C02139	C05306
C00180	C06321
C00111	C00623
C07328	C07329
C05528	C11499
C01494	C02666
C00061	C01847
C06717	C11502
C00244	C00533
C00097	C00283
C11924	C11929
C00010	C11929
C11405	C11407
C00020	C00147
C00916	C03112
C00836	C12126
C12144	C12145
C00040	C00060
C00040	C00264
C00040	C02403
C00037	C02055
C00041	C00049
C00041	C03210
C00133	C03341
C00041	C00133
C00022	C04593
C00042	C04593
C00025	C05931
C00042	C05931
C00043	C00645
C00043	C04501
C00043	C00075
C00043	C00203
C00043	C01170
C00043	C04573
C00044	C04895
C00044	C01304
C00044	C05922
C00044	C04494
C00044	C00942
C00046	C02073
C00008	C00046
C00015	C00046
C00035	C00046
C00046	C00112
C00044	C00046
C00047	C04092
C00047	C03239
C00047	C01028
C00047	C00990
C00047	C00680
C00047	C04020
C00033	C02727
C00047	C00408
C00047	C00739
C00047	C01142
C00047	C01672
C00047	C02837
C00048	C00209
C00048	C00313
C00022	C01127
C00048	C01127
C00022	C05946
C00048	C05946
C00048	C00149
C00024	C04348
C00048	C04348
C00026	C03217
C00048	C03217
C00036	C01990
C00048	C01990
C00037	C03961
C00048	C03961
C00042	C00311
C00048	C00311
C00049	C03082
C00049	C05840
C00049	C02512
C00033	C01042
C00049	C00099
C00049	C00122
C00049	C00402
C00025	C00051
C00051	C00669
C00042	C03174
C00051	C03174
C00052	C00617
C00043	C04739
C00052	C03733
C00002	C00053
C00055	C00117
C00055	C00380
C00002	C00055
C00055	C00063
C00058	C02405
C00010	C00798
C00058	C00798
C00058	C00209
C00058	C00488
C00058	C01045
C00049	C01044
C00058	C01044
C00058	C01031
C00002	C00224
C00008	C00224
C00022	C02703
C00031	C02827
C00951	C08357
C05299	C08358
C05302	C08359
C00060	C02133
C00060	C00726
C00020	C03361
C00060	C03361
C00022	C02119
C00060	C02119
C00047	C02444
C00060	C02444
C00049	C02715
C00060	C02715
C00051	C02589
C00060	C02589
C00062	C00086
C00062	C05945
C00062	C05933
C00062	C03078
C00062	C04137
C00062	C01682
C00062	C00179
C00062	C00792
C00009	C00063
C00063	C00941
C00064	C02716
C00064	C00819
C00013	C01005
C00065	C00979
C00065	C00740
C00065	C02218
C01764	C03446
C04155	C17325
C04156	C17324
C01977	C04157
C01977	C04158
C04159	C17324
C01977	C04160
C04728	C11478
C00067	C02271
C00047	C02728
C00009	C00068
C00068	C00378
C00026	C05381
C00009	C01153
C00069	C01153
C00069	C01883
C00069	C02000
C00060	C02391
C00069	C02391
C00071	C00161
C00072	C00209
C00072	C01620
C00072	C03289
C00073	C03172
C00058	C03145
C00073	C03145
C00073	C00109
C00073	C00855
C00073	C03354
C00074	C00631
C00043	C04631
C00074	C04631
C00074	C02798
C00075	C00105
C00077	C03712
C00077	C04210
C00077	C04322
C00033	C00437
C00077	C00437
C00077	C00134
C00077	C00148
C00077	C00515
C00022	C00078
C00078	C02693
C00078	C02700
C00078	C03230
C00078	C00977
C00078	C02983
C00078	C00398
C00079	C02265
C00079	C03709
C00079	C00826
C00079	C03519
C00079	C00423
C00079	C05332
C00448	C03428
C00013	C00081
C00081	C00130
C00009	C03614
C00081	C03614
C00022	C00082
C00082	C00146
C00082	C03004
C00062	C02993
C00082	C02993
C00082	C00483
C00082	C00811
C00082	C04368
C00083	C00222
C00083	C00288
C00083	C00383
C00084	C03167
C00084	C00346
C00084	C00189
C00022	C03589
C00084	C03589
C00037	C00188
C00084	C00188
C00058	C00186
C00084	C00186
C00084	C05125
C00085	C00644
C00013	C00354
C00085	C02591
C00085	C00092
C00085	C00275
C00085	C06019
C00086	C01010
C00288	C01010
C00086	C00581
C00086	C00603
C00049	C03139
C00086	C03139
C00086	C01566
C00022	C00097
C00088	C00192
C00084	C01837
C00089	C00267
C00089	C02336
C00089	C00103
C00089	C03848
C00089	C01742
C00090	C04091
C00090	C06321
C00090	C04221
C00090	C00146
C00090	C00682
C00090	C02480
C00090	C00805
C00090	C00196
C00090	C00230
C00090	C01502
C00090	C01988
C00091	C02232
C00037	C00430
C00062	C03296
C00091	C01213
C00092	C01096
C00092	C01236
C00031	C00689
C00031	C02995
C00092	C02995
C00031	C04534
C00092	C04534
C00093	C00118
C00093	C04641
C00093	C04703
C00063	C00513
C00069	C03120
C00093	C03120
C00041	C00606
C00606	C09306
C00095	C05345
C00273	C10906
C00095	C03267
C00095	C00273
C00095	C00159
C00095	C00267
C00096	C00976
C00044	C00096
C00096	C01222
C00096	C02280
C00097	C00606
C00025	C00669
C00037	C01419
C00097	C01419
C00094	C00506
C00097	C00793
C00099	C05665
C00099	C02642
C00099	C02207
C00033	C01073
C00099	C01073
C00062	C05340
C00086	C03065
C00099	C03065
C00099	C02335
C00100	C02876
C00100	C00349
C00020	C05983
C00100	C03344
C00036	C02225
C00048	C02630
C00048	C06027
C00100	C06027
C00100	C06002
C00025	C09332
C00101	C09332
C00002	C00498
C00020	C00498
C00103	C00185
C00031	C02048
C00103	C02048
C00044	C00394
C00013	C00063
C00103	C00501
C00103	C00668
C00103	C01231
C00009	C00104
C00104	C00130
C00105	C01103
C00105	C00106
C00105	C00119
C00075	C06198
C00105	C06198
C00106	C03030
C00106	C00380
C00106	C00813
C00108	C03293
C00108	C00196
C00010	C02247
C00108	C02247
C00108	C02775
C00108	C03005
C00108	C00251
C00064	C00108
C00041	C00328
C00108	C00328
C00058	C05653
C00108	C05653
C00108	C03147
C00108	C00292
C00109	C02876
C00109	C06032
C00109	C06030
C00109	C00188
C00109	C01234
C00109	C02488
C00109	C01118
C00109	C05984
C00109	C02291
C00031	C01246
C00110	C04500
C00110	C04678
C00111	C03372
C00067	C03394
C00111	C03394
C00111	C00118
C00111	C00546
C00114	C00588
C00033	C01996
C00060	C01777
C00114	C01777
C00093	C00670
C00114	C00670
C00022	C02634
C00022	C02635
C00090	C02357
C00698	C02357
C00116	C02979
C00116	C00623
C00013	C00623
C00116	C00969
C00116	C05999
C00117	C00119
C00117	C01151
C00117	C00121
C00008	C00301
C00117	C03090
C00106	C01168
C00117	C01168
C00117	C00199
C00117	C00620
C00118	C00197
C00118	C00577
C00022	C01286
C00118	C01286
C00084	C00673
C00118	C00673
C00111	C00354
C00118	C00354
C00111	C03785
C00118	C03785
C00111	C05378
C00118	C05378
C00002	C02739
C00119	C02739
C00119	C03090
C00108	C04302
C00119	C04302
C00002	C05921
C00120	C05921
C00120	C01894
C00120	C01893
C00047	C05552
C00120	C05552
C00087	C00120
C00120	C01909
C00121	C00299
